n1/n2, 25/50, 50/100, 100/200, 200/500, 500/1000, 1000/2000, 2000/4000, 4000/8000
||•||, 0.949743, 0.975387, 0.98781, 0.992728, 0.99758, 0.998791, 0.999396, 0.999698
||•||1, 0.484631, 0.492751, 0.496478, 0.398336, 0.499311, 0.499657, 0.499829, 0.499914
||•||2, 0.465276, 0.483254, 0.491774, 0.396092, 0.498378, 0.49919, 0.499595, 0.499798
