alpha=10, [a b] = [-6 5] 
Метод, Корень, Невязка, x0, Количество итераций, M, m, q 
Половинное деление, 4.05535888671875, -0.00034920967398921476, -6, 14, , , 
Метод хорд, 4.055699543130664, 1.800488291792135e-08, -6, 3, 1.3240004909395693, 0.6759953257172809, 
Метод простой итерации, 4.0554345592954, -0.00027163293156906576, -6, 6, , , 0.48942970161773525 
Метод Эткина, 4.055699528267809, 2.7681057446216073e-09, -6, 4, , , 0.48942970161773525 
Метод Ньютона, 4.05569952556236, -5.4081183975540625e-12, -6, 2, 1.3240004909395693, 0.6759953257172809, 

