n1/n2,25 / 50,50 / 100,100 / 200,200 / 500,500 / 1000,1000 / 2000,2000 / 4000,4000 / 8000
 ||•||, nan, nan, nan, nan, nan, nan, nan, nan
 ||•||1, nan, nan, nan, nan, nan, nan, nan, nan
 ||•||2, nan , nan , nan , nan , nan , nan , nan , nan 
